,name,id,top_kpop,genre,followers
434, Jo Hyun Ah,7aVeZFWXIC3g4b0Tn68ZtI,0,[],5112
441,CHO PD,5kpASLmaTCY83YeHWs23Bc,0,[],4
442, Brown Eyed Girls,2GEPtT5RDxrmdi0A4mbDi7,1,"['k-pop', 'k-pop girl group']",253570
448, MC MONG,6gEWl778wJTkq4Uk5eBvgD,0,"['k-rap', 'korean pop']",38264
455, Bobby Kim,2pIicUMaKL2mgq8qrZ5K53,0,[],178
462, Jo PD,5vQNUEPwDQboBgAHhX6EZn,0,[],2
469, Lee Jae Hoon,3TiQECvFFvnqd5hs6viUsK,0,[],48
476, 조PD,0XJH7kCmbiKeYfAFSHpYuN,0,[],25
490, MC 몽,0St0PvgohErtWfC6qnJHpN,0,[],0
497,LEE MINHYUK (HUTA),4fgfmrBHIWsUuHxeOPhv61,0,"['k-pop', 'korean pop']",77830
498, PENIEL,21EUYgHJLDUeG72eDEmTx4,0,[],32679
499, JUNG ILHOON,7McwKT2tZl8LMXUQRH3YDM,0,['k-rap'],47636
504,SEO EUNKWANG,6Uug3azJYNwnLkO82CTTY2,0,['korean pop'],40901
505, LEE CHANGSUB,1rp5HzWaNwgauM5W5YmZ3U,0,['korean talent show'],45598
506, Lim Hyunsik,0SA2I3s4t7hmv1XVvky9Po,0,['korean singer-songwriter'],45171
507, YOOK SUNGJAE,7mFGOWJEkdlJBCXcJ5EWi9,0,"['korean pop', 'korean r&b']",63759
511,LEE MINHYUK (BTOB),6KIjwPp994JQ2LJ8IBvZPc,0,[],525
514, G.NA,3hzcooxMtbApMTvvn6XKVA,0,['k-pop'],170976
521, YOOK SUNGJAE (BTOB),2KbOz7b91wiUpnv34Twd9f,0,[],106
532, Joo,5DKI4lr414kDPDuIU2BDR7,0,[],368
540, BTOB,2hcsKca6hCfFMwwdbFvenJ,1,"['k-pop', 'k-pop boy group']",1452497
555, Ha Yeon Su,5mKdz6Mcx2sor5hY9A8Rg4,0,[],18
560, YOO SUNGEUN,7M5YdBeK8dsO39SHHvOYy8,0,[],34
567,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,0,['k-pop'],6673223
568, BTS,3Nrfpe0tUJi4K4DXYWgMUX,1,"['k-pop', 'k-pop boy group']",62841084
569, FIFA Sound,5C01hDqpEmrmDfUhX9YWsH,0,[],168270
574,benny blanco,5CiGnKThu5ctn9pBxv7DGa,0,"['dance pop', 'edm', 'electropop', 'pop', 'pop rap']",1036118
576, Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,0,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",9448284
581,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,0,"['dance pop', 'pop', 'viral pop']",19785448
582, Jung Kook,6HaGTQPmzraVmaVxvz6EUc,0,['k-pop'],6673223
588,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,0,"['permanent wave', 'pop']",42843007
590, David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,0,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",25735035
597, Galantis,4sTQVOfp9vEMCemLw50sbu,0,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",3336964
604, SUGA,0ebNdVaOfp6N0oZ1guIxM8,0,['k-pop'],2203363
609, Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,0,"['dance pop', 'houston rap', 'pop', 'rap', 'trap queen']",7576460
